"Client Name","ID","Description","Assigned User","Assigned To","Date Created","Date Modified","Created By","Modified By","Deleted","primary contact (related  ID)","Client Type","City","Address Line 1","Address Line 2","Postal Code","Province","Phone","Fax","no_employees","Website","ddd","Client Type","Legal Form of Business","Number of Employees","Industry Sector","Years in Business","Organization Type","Goverment","Country","Email","Extension","NAICS Code","Modified By Name","modified_by_name_owner","modified_by_name_mod","Created By","created_by_name_owner","created_by_name_mod","assigned_user_name_owner","assigned_user_name_mod","Primary Contact"
"College of the Rockies","475f2747-06f3-7217-4acf-537cff6aef5f","","admin","1","05/21/2014 12:33 pm","05/21/2014 12:33 pm","1","1","0","","business_research_support","Creston","301 16th Avenue, Creston","","","B.C.","","","1","","","company","corporation","1","agriculture_fish_wildlife","","for_profit_organization_private","federal","Canada","250-428-5332ktompkins@cotr.bc.ca","","","admin","","Users","admin","","Users","","Users",""
"Rambling Rose Tissue Massage","49e93c1f-2dfe-fb3b-58d4-537cff5eac68","","admin","1","05/21/2014 12:33 pm","05/21/2014 12:33 pm","1","1","0","","business_research_support","New Denver","RR1, S-2, C-40, New Denver, B.C. V0G 1S1","","V0G 1S1","B.C.","250-358-2642","","1","","","company","corporation","1","agriculture_fish_wildlife","","for_profit_organization_private","federal","Canada","","","","admin","","Users","admin","","Users","","Users",""
"Wildways","4a74873b-cd11-343b-700e-537cffe91526","","admin","1","05/21/2014 12:33 pm","05/21/2014 12:33 pm","1","1","0","","business_research_support","Christina Lake","1925 Highway 3, Christina Lake","","","B.C.","250-447-6561","","1","","","company","corporation","1","agriculture_fish_wildlife","","for_profit_organization_private","federal","Canada","bob@wildways.com","","","admin","","Users","admin","","Users","","Users",""
"Steenkamp Farms","4b28d447-271c-3e92-d157-537cffe5cb6d","","admin","1","05/21/2014 12:33 pm","05/21/2014 12:33 pm","1","1","0","","business_research_support","","639 33rd ave S","","","B.C.","250-254-1584","","1","","","company","corporation","1","agriculture_fish_wildlife","","for_profit_organization_private","federal","Canada","","","","admin","","Users","admin","","Users","","Users",""
"Drop Designs","4b4ac728-b597-6dcb-2bbc-537cfff65ed1","","admin","1","05/21/2014 12:33 pm","05/21/2014 12:33 pm","1","1","0","","business_research_support","South Slocan","2775 Fir St, South Slocan, BC","","","B.C.","250.359.2971","","1","","","company","corporation","1","agriculture_fish_wildlife","","for_profit_organization_private","federal","Canada","","","","admin","","Users","admin","","Users","","Users",""
"Gold Guild Geological","4e7aea5b-4756-3d0d-6464-537cff03e2fb","","admin","1","05/21/2014 12:33 pm","05/21/2014 12:33 pm","1","1","0","","business_research_support","Rossland","Box 562 Rossland, BC V0G 1Y0","","V0G 1Y0","B.C.","250-362-9023","","1","","","company","corporation","1","agriculture_fish_wildlife","","for_profit_organization_private","federal","Canada","","","","admin","","Users","admin","","Users","","Users",""
"Across the Board Creations","4ee9975f-b71a-cf33-a2e8-537cffd2aff2","","admin","1","05/21/2014 12:33 pm","05/30/2014 08:47 am","1","1","0","14c80191-6bd7-4f11-3d9b-537d0d95e468","business_research_support","Wynndel","5030 Duck Creek Rd. Wynndel, BC V0B 2N2","","V0B 2N2","B.C.","250.866.5757","","1","http://","","company","corporation","1","agriculture_fish_wildlife","","for_profit_organization_private","federal","Canada","","","","admin","","Users","admin","","Users","","Users","David Ratzlaff"
"True North Forestry","4f148d60-c1e0-f4f7-f2f3-537cff214240","","admin","1","05/21/2014 12:33 pm","05/21/2014 12:33 pm","1","1","0","","business_research_support","Nakusp","119 Broadway, Nakusp, BC, V0G 1R0","","V0G 1R0","B.C.","1-250-265-36","","1","","","company","corporation","1","agriculture_fish_wildlife","","for_profit_organization_private","federal","Canada","h.watt@truenorthforestry.com","","","admin","","Users","admin","","Users","","Users",""
"Kootenay Meadows","51ae9258-419a-1789-e632-537cff29b217","","admin","1","05/21/2014 12:33 pm","05/21/2014 12:33 pm","1","1","0","","business_research_support","Creston","3071 16th Street, Creston","","","B.C.","1-250-428-96","","1","","","company","corporation","1","agriculture_fish_wildlife","","for_profit_organization_private","federal","Canada","info@kootenayalpinecheese.com","","","admin","","Users","admin","","Users","","Users",""
"NRG Enterprises","52ee4b6a-27ec-05bf-8bbb-537cffe49487","","admin","1","05/21/2014 12:33 pm","05/21/2014 12:33 pm","1","1","0","","business_research_support","Nelson","508A Latimer Street, Nelson","","","B.C.","","","1","","","company","corporation","1","agriculture_fish_wildlife","","for_profit_organization_private","federal","Canada","1-800-665-4362ramin@nrgenterprises.com","","","admin","","Users","admin","","Users","","Users",""
"Christina Lake Stewardship Society","534a057d-0813-2317-b755-537cffbf6fd0","","admin","1","05/21/2014 12:33 pm","05/21/2014 12:33 pm","1","1","0","","business_research_support","","1632 West Lake Dr","","","B.C.","","","1","","","company","corporation","1","agriculture_fish_wildlife","","for_profit_organization_private","federal","Canada","","","","admin","","Users","admin","","Users","","Users",""
"Buffalo Trails","540dc9f9-fb4b-eb95-d604-537cff3fd5e9","","admin","1","05/21/2014 12:33 pm","05/21/2014 12:33 pm","1","1","0","","business_research_support","Creston","1215 Canyon St, Creston, BC V0B 1G0","","V0B 1G0","B.C.","250-428-5730","","1","","","company","corporation","1","agriculture_fish_wildlife","","for_profit_organization_private","federal","Canada","","","","admin","","Users","admin","","Users","","Users",""
"Rock Island RV","546c6c97-f57b-9e3d-4c68-537cff59b545","","admin","1","05/21/2014 12:33 pm","05/21/2014 12:33 pm","1","1","0","","business_research_support","Trail","8023 Old Waneta Rd. Trail, BC","","","B.C.","888-817-2323","","1","","","company","corporation","1","agriculture_fish_wildlife","","for_profit_organization_private","federal","Canada","","","","admin","","Users","admin","","Users","","Users",""
"Intermountain Engineering","56cb99f6-0abf-e822-8bc8-537cff4e0e9c","","admin","1","05/21/2014 12:33 pm","05/21/2014 12:33 pm","1","1","0","","business_research_support","Rossland","Box 562 Rossland, BC V0G 1Y0","","V0G 1Y0","B.C.","250-352-7312","","1","","","company","corporation","1","agriculture_fish_wildlife","","for_profit_organization_private","federal","Canada","","","","admin","","Users","admin","","Users","","Users",""
"Cook Shoppe","57f96028-ad2d-7392-7f99-537cfff41de7","","admin","1","05/21/2014 12:33 pm","05/21/2014 12:33 pm","1","1","0","","business_research_support","Trail","1108 Marianna CrescentTrail, BC V1R 1C7","","V1R 1C7","B.C.","","","1","","","company","corporation","1","agriculture_fish_wildlife","","for_profit_organization_private","federal","Canada","pollyden@shaw.ca","","","admin","","Users","admin","","Users","","Users",""
"RCI Construction and Design","5a44f859-5430-3ad6-0b49-537cff0b8bcd","","admin","1","05/21/2014 12:33 pm","05/21/2014 12:33 pm","1","1","0","","business_research_support","","","","","B.C.","","","1","","","company","corporation","1","agriculture_fish_wildlife","","for_profit_organization_private","federal","Canada","","","","admin","","Users","admin","","Users","","Users",""
"Williamson Lake Campground","5ad03b71-ce43-f80d-93f6-537cffe01cf2","","admin","1","05/21/2014 12:33 pm","05/21/2014 12:33 pm","1","1","0","","business_research_support","Revelstoke","1817 Williamson Lake Road, Revelstoke, V0E 2S0","","V0E 2S0","B.C.","","","1","","","company","corporation","1","agriculture_fish_wildlife","","for_profit_organization_private","federal","Canada","","","","admin","","Users","admin","","Users","","Users",""
"Dueling Oaks Restaurant","5ba68523-325f-0b2b-34c6-537cff20a892","","admin","1","05/21/2014 12:33 pm","05/21/2014 12:33 pm","1","1","0","","business_research_support","","282 2nd Ave","","","B.C.","","","1","","","company","corporation","1","agriculture_fish_wildlife","","for_profit_organization_private","federal","Canada","","","","admin","","Users","admin","","Users","","Users",""
"Strand & Godfrey Appraisals Ltd.","5bc31fcd-5cc1-adbc-65a8-537cff237ede","","admin","1","05/21/2014 12:33 pm","05/21/2014 12:33 pm","1","1","0","","business_research_support","Castlegar","903B 4th Street, Castlegar","","","B.C.","","","1","","","company","corporation","1","agriculture_fish_wildlife","","for_profit_organization_private","federal","Canada","","","","admin","","Users","admin","","Users","","Users",""
"Grand Forks Chamber of Commerce","5f152c28-4d8e-1ef0-3c79-537cffb7894e","","admin","1","05/21/2014 12:33 pm","05/21/2014 12:33 pm","1","1","0","","business_research_support","Grand Forks","1647 Central Ave. Grand Forks, BC V0H 1H0","","V0H 1H0","B.C.","250-442-2722","","1","","","company","corporation","1","agriculture_fish_wildlife","","for_profit_organization_private","federal","Canada","","","","admin","","Users","admin","","Users","","Users",""
"Amec","5f455e19-b5e2-1b4c-ae8f-537cfff39acf","","admin","1","05/21/2014 12:33 pm","05/21/2014 12:33 pm","1","1","0","","business_research_support","Nelson","203 Â 601 Front St. Nelson, BC V1L 4B6","","V1L 4B6","B.C.","250-354-1601","","1","","","company","corporation","1","agriculture_fish_wildlife","","for_profit_organization_private","federal","Canada","","","","admin","","Users","admin","","Users","","Users",""
"Two Scoop Steves Ice Cream","5f703c3a-0da3-89b7-2861-537cfffffbd8","","admin","1","05/21/2014 12:33 pm","05/21/2014 12:33 pm","1","1","0","","business_research_support","Yahk","BOX 55 Yahk BC, V0B 2P0","","V0B 2P0","B.C.","250-424-5166","","1","","","company","corporation","1","agriculture_fish_wildlife","","for_profit_organization_private","federal","Canada","","","","admin","","Users","admin","","Users","","Users",""
"Kootenay Spice","620a532f-377a-8ec4-307a-537cffdcac32","","admin","1","05/21/2014 12:33 pm","05/21/2014 12:33 pm","1","1","0","","business_research_support","Trail","224 First AvenueTrail, BC V1R 4V2","","V1R 4V2","B.C.","","","1","","","company","corporation","1","agriculture_fish_wildlife","","for_profit_organization_private","federal","Canada","info@kootenayspice.com","","","admin","","Users","admin","","Users","","Users",""
